bucket,n_rounds,mean_delta,ci95_lo,ci95_hi,filters
control,9,-0.05472222211625841,-0.1113958333333333,-0.004715277565850247,"continuous_measure=serial-questions,control_dialogue=True,human_persuader=False,human_target=True,llm_persuader=gpt-5-2025-08-07,use_audio=False,participant_proposition=False,enable_node_belief_survey=False,proposition_source=debategpt,minimum_turns=4,turn_limit=4,factual_domain=False"
standard_text,32,0.1904299656310367,0.10584667968705302,0.2809778171993482,"continuous_measure=serial-questions,control_dialogue=False,human_target=True,use_audio=False,participant_proposition=False,enable_node_belief_survey=False,llm_persuader=gpt-5-2025-08-07,proposition_source=debategpt,minimum_turns=4,turn_limit=4,factual_domain=False"
personal_text,106,0.1410649689746863,0.08966414785925547,0.1948808737976916,"continuous_measure=serial-questions,control_dialogue=False,human_target=True,use_audio=False,participant_proposition=True"
audio,24,0.16708333383401477,0.056656251001362894,0.28406250001251704,"continuous_measure=serial-questions,control_dialogue=False,human_persuader=False,human_target=True,llm_persuader=gpt-5-2025-08-07,use_audio=True,show_transcript=True,participant_proposition=False,enable_node_belief_survey=False,proposition_source=debategpt,minimum_turns=4,turn_limit=4,factual_domain=False"
