comparison,bucket,n_bucket,n_control,mean_bucket,mean_control,mean_diff,welch_t,welch_df,p_two_sided,p_two_sided_holm,p_one_sided_greater,p_one_sided_greater_holm
standard_text_minus_control,standard_text,32,9,0.1904299656310367,-0.05472222211625841,0.2451521877472951,4.503028366443982,37.57903516300621,6.302907071097287e-05,0.00012605814142194573,3.151453535548643e-05,6.302907071097287e-05
personal_text_minus_control,personal_text,106,9,0.1410649689746863,-0.05472222211625841,0.1957871910909447,4.940844264175432,26.394266683752214,3.780848464026787e-05,0.00011342545392080362,1.8904242320133937e-05,5.671272696040181e-05
audio_minus_control,audio,24,9,0.16708333383401477,-0.05472222211625841,0.22180555595027318,3.3573834275127354,30.32170520340504,0.002132675916457961,0.002132675916457961,0.0010663379582289804,0.0010663379582289804
