corpus,paired_cells,paired_round_weight,non_naive_policy_model,naive_policy_model,non_naive_weighted_mean_abs_delta,naive_weighted_mean_abs_delta,naive_excess_abs_delta,naive_excess_abs_delta_abs,naive_excess_abs_delta_penalty,naive_excess_abs_delta_ci_low,naive_excess_abs_delta_ci_high
vanilla_llm_target,54,135,gpt-5-2025-08-07,naive,0.06444276156837642,0.14042181940026488,0.07597905783188846,0.07597905783188846,0.07597905783188846,0.019375950715329188,0.13750825757748156
structure_target,54,135,gpt-5-2025-08-07,naive,0.12566533786395384,0.2234208664039045,0.09775552853995065,0.09775552853995065,0.09775552853995065,0.04651187112540382,0.1601562587848098
full_simulated_target,54,405,gpt-5-2025-08-07,naive,0.07708613974427012,0.007599906569411887,-0.06948623317485823,0.06948623317485823,0.0,-0.08232112533881987,-0.05659609491694891
overall,162,675,gpt-5-2025-08-07,naive,0.08427330373302816,0.07732848110248093,-0.006944822630547229,0.006944822630547229,0.0,-0.026574213648305454,0.01774503865991571
