corpus,n_total,n_scored,parse_failures,mean_human_likeness,median_human_likeness,std_human_likeness,se_human_likeness,ci95_lo,ci95_hi,mean_confidence
full_simulated_target,50,50,0,81.32,83.5,7.950949628817931,1.1244340798819643,79.11610920343135,83.52389079656864,0.91
human_reference,50,50,0,79.98,82.0,9.278987013677732,1.3122469279826872,77.40799602115393,82.55200397884607,0.8632000000000001
structure_target,50,50,0,64.24,69.0,18.420162865729502,2.6050044145835916,59.134191347416156,69.34580865258383,0.8933999999999999
vanilla_llm_target,50,50,0,64.7,72.0,19.938154377975913,2.8196808330022036,59.17342556731568,70.22657443268432,0.898
