corpus,n_pairs,mean_for_delta,mean_against_delta,mean_for_minus_against,mean_abs_for_minus_against,stance_bias_ci_low,stance_bias_ci_high
full_simulated_target,162,0.09036915369359483,0.015214500863098722,0.0751546528304961,0.07702537096716101,0.06159373745494113,0.09453301243137537
structure_target,54,0.08943291976660696,-0.14295143828512547,0.23238435805173235,0.23649434172533126,0.17280029498066035,0.30424913008654203
vanilla_llm_target,54,0.0785952709357335,-0.07322490056536313,0.15182017150109667,0.15369969669202063,0.1032852138132792,0.21351369860906894
