corpus,paired_cells,paired_round_weight,non_naive_policy_model,naive_policy_model,non_naive_weighted_mean_abs_delta,naive_weighted_mean_abs_delta,naive_excess_abs_delta,naive_excess_abs_delta_abs,naive_excess_abs_delta_penalty,naive_excess_abs_delta_ci_low,naive_excess_abs_delta_ci_high
vanilla_llm_target,54,81,gpt-5-2025-08-07,naive,0.0883634536495966,0.14350555115468244,0.05514209750508585,0.05514209750508585,0.05514209750508585,-0.006696470640547597,0.12468063839941354
structure_target,54,81,gpt-5-2025-08-07,naive,0.1345003158326696,0.2340698465015576,0.09956953066888799,0.09956953066888799,0.09956953066888799,0.03186826695110724,0.1745959351674159
full_simulated_target,54,243,gpt-5-2025-08-07,naive,0.0530740603244071,0.007719007027856693,-0.0453550532965504,0.0453550532965504,0.0,-0.05602014196777257,-0.034818090591608314
overall,162,405,gpt-5-2025-08-07,naive,0.07641719009109751,0.08014648374796203,0.0037292936568645157,0.0037292936568645157,0.0037292936568645157,-0.01658981210864262,0.02772927006178436
